terrestrial_date,id,sol,ls,month,min_temp,pressure
2012-08-16,2,10,155,6,-75.0,739.0
2012-08-17,13,11,156,6,-76.0,740.0
2012-08-18,24,12,156,6,-76.0,741.0
2012-08-19,35,13,157,6,-74.0,732.0
2012-08-20,46,14,157,6,-74.0,740.0
2012-08-21,57,15,158,6,-78.0,740.0
2012-08-22,68,16,158,6,-77.0,740.0
2012-08-23,79,17,159,6,-76.0,742.0
2012-08-27,112,21,161,6,-74.0,741.0
2012-08-28,114,22,162,6,-74.0,742.0
2012-08-29,123,23,162,6,-75.0,741.0
2012-08-30,134,24,163,6,-75.0,742.0
2012-08-31,145,25,163,6,-75.0,743.0
2012-09-01,156,26,164,6,-76.0,745.0
2012-09-02,163,27,164,6,-75.0,743.0
2012-09-03,170,28,165,6,-75.0,745.0
2012-09-04,171,29,166,6,-75.0,747.0
2012-09-05,172,30,166,6,-74.0,747.0
2012-09-06,173,31,167,6,-74.0,745.0
2012-09-08,175,33,168,6,-73.0,748.0
2012-09-10,176,34,168,6,-73.0,748.0
2012-09-11,177,35,169,6,-73.0,749.0
2012-09-12,178,36,169,6,-73.0,750.0
2012-09-13,179,37,170,6,-73.0,750.0
2012-09-14,180,38,171,6,-73.0,750.0
2012-09-15,181,39,171,6,-75.0,751.0
2012-09-16,182,40,172,6,-75.0,753.0
2012-09-17,183,41,172,6,-75.0,753.0
2012-09-18,184,42,173,6,-75.0,754.0
2012-09-19,185,43,173,6,-74.0,756.0
2012-09-20,186,44,174,6,-75.0,757.0
2012-09-21,187,45,175,6,-74.0,758.0
2012-09-22,188,46,175,6,-74.0,758.0
2012-09-23,189,47,176,6,-75.0,758.0
2012-09-24,190,48,176,6,-75.0,759.0
2012-09-25,191,49,177,6,-74.0,761.0
2012-09-26,192,50,177,6,-72.0,761.0
2012-09-27,193,51,178,6,-76.0,762.0
2012-09-28,194,52,179,6,-74.0,762.0
2012-09-29,195,53,179,6,-71.0,764.0
2012-09-30,196,54,180,7,-72.0,766.0
2012-10-01,197,55,180,7,-74.0,766.0
2012-10-02,198,56,181,7,-73.0,768.0
2012-10-03,199,57,181,7,-73.0,769.0
2012-10-04,200,58,182,7,-74.0,769.0
2012-10-05,201,59,183,7,-76.0,771.0
2012-10-06,202,60,183,7,-75.0,772.0
2012-10-07,203,61,184,7,-72.0,772.0
2012-10-08,204,62,184,7,-72.0,774.0
2012-10-09,205,63,185,7,-73.0,775.0
2012-10-10,206,64,186,7,-74.0,776.0
2012-10-11,207,65,186,7,-72.0,777.0
2012-10-12,208,66,187,7,-73.0,778.0
2012-10-13,209,67,187,7,-73.0,780.0
2012-10-14,210,68,188,7,-71.0,781.0
2012-10-15,211,69,189,7,-73.0,778.0
2012-10-17,212,70,189,7,-72.0,783.0
2012-10-18,213,71,190,7,-71.0,784.0
2012-10-19,214,72,190,7,-73.0,785.0
2012-10-20,215,73,191,7,-70.0,788.0
2012-10-21,216,74,192,7,-72.0,790.0
2012-10-22,217,75,192,7,-73.0,791.0
2012-10-23,218,76,193,7,-73.0,792.0
2012-10-24,219,77,193,7,-71.0,792.0
2012-10-25,220,78,194,7,-71.0,793.0
2012-10-26,221,79,195,7,-73.0,795.0
2012-10-27,222,80,195,7,-70.0,796.0
2012-10-28,223,81,196,7,-72.0,798.0
2012-10-29,224,82,196,7,-72.0,799.0
2012-10-30,225,83,197,7,-72.0,801.0
2012-10-31,226,84,198,7,-70.0,801.0
2012-11-01,227,85,198,7,-71.0,805.0
2012-11-02,228,86,199,7,-71.0,808.0
2012-11-03,229,87,199,7,-70.0,808.0
2012-11-04,230,88,200,7,-70.0,811.0
2012-11-05,231,89,201,7,-73.0,813.0
2012-11-06,233,90,201,7,-71.0,813.0
2012-11-07,234,91,202,7,-74.0,817.0
2012-11-08,235,92,202,7,-74.0,820.0
2012-11-09,236,93,203,7,-72.0,819.0
2012-11-10,237,94,204,7,-70.0,822.0
2012-11-11,238,95,204,7,-68.0,822.0
2012-11-12,239,96,205,7,-71.0,826.0
2012-11-13,240,97,206,7,-68.0,828.0
2012-11-14,241,98,206,7,-68.0,828.0
2012-11-15,242,99,207,7,-68.0,829.0
2012-11-16,3,100,207,7,-66.0,829.0
2012-11-17,4,101,208,7,-65.0,830.0
2012-11-18,5,102,209,7,-67.0,833.0
2012-11-19,6,103,209,7,-66.0,836.0
2012-11-20,7,104,210,8,-67.0,838.0
2012-11-21,8,105,211,8,-66.0,839.0
2012-11-23,9,106,211,8,-66.0,841.0
2012-11-24,10,107,212,8,-66.0,844.0
2012-11-25,11,108,212,8,-65.0,845.0
2012-11-26,12,109,213,8,-64.0,844.0
2012-11-27,14,110,214,8,-65.0,848.0
2012-11-28,15,111,214,8,-66.0,849.0
2012-11-29,16,112,215,8,-65.0,852.0
2012-11-30,17,113,216,8,-66.0,857.0
2012-12-01,18,114,216,8,-69.0,857.0
2012-12-02,19,115,217,8,-66.0,857.0
2012-12-03,20,116,217,8,-67.0,859.0
2012-12-04,21,117,218,8,-66.0,861.0
2012-12-05,22,118,219,8,-65.0,864.0
2012-12-06,23,119,219,8,-66.0,866.0
2012-12-07,25,120,220,8,-67.0,867.0
2012-12-08,26,121,221,8,-66.0,869.0
2012-12-09,27,122,221,8,-65.0,869.0
2012-12-10,28,123,222,8,-66.0,875.0
2012-12-11,29,124,223,8,-66.0,876.0
2012-12-12,30,125,223,8,-68.0,880.0
2012-12-13,31,126,224,8,-66.0,880.0
2012-12-14,32,127,224,8,-67.0,884.0
2012-12-15,33,128,225,8,-67.0,883.0
2012-12-16,34,129,226,8,-65.0,886.0
2012-12-17,36,130,226,8,-65.0,888.0
2012-12-18,37,131,227,8,-65.0,889.0
2012-12-19,38,132,228,8,-65.0,890.0
2012-12-20,39,133,228,8,-65.0,891.0
2012-12-21,40,134,229,8,-67.0,893.0
2012-12-22,41,135,230,8,-65.0,894.0
2012-12-23,42,136,230,8,-65.0,897.0
2012-12-24,43,137,231,8,-64.0,896.0
2012-12-25,44,138,232,8,-65.0,899.0
2012-12-26,45,139,232,8,-66.0,899.0
2012-12-27,47,140,233,8,-66.0,903.0
2012-12-28,48,141,233,8,-64.0,904.0
2012-12-29,49,142,234,8,-65.0,906.0
2012-12-31,50,143,235,8,-63.0,908.0
2013-01-01,51,144,235,8,-64.0,907.0
2013-01-02,52,145,236,8,-64.0,909.0
2013-01-03,53,146,237,8,-65.0,908.0
2013-01-04,54,147,237,8,-65.0,914.0
2013-01-05,55,148,238,8,-65.0,912.0
2013-01-06,56,149,239,8,-65.0,914.0
2013-01-07,58,150,239,8,-64.0,913.0
2013-01-08,59,151,240,9,-65.0,915.0
2013-01-09,60,152,241,9,-63.0,914.0
2013-01-10,61,153,241,9,-65.0,915.0
2013-01-11,62,154,242,9,-65.0,917.0
2013-01-12,63,155,243,9,-64.0,917.0
2013-01-13,64,156,243,9,-65.0,922.0
2013-01-14,65,157,244,9,-64.0,920.0
2013-01-15,66,158,245,9,-66.0,922.0
2013-01-16,67,159,245,9,-65.0,918.0
2013-01-17,69,160,246,9,-67.0,919.0
2013-01-18,70,161,246,9,-65.0,919.0
2013-01-19,71,162,247,9,-65.0,919.0
2013-01-20,72,163,248,9,-65.0,919.0
2013-01-21,73,164,248,9,-64.0,919.0
2013-01-22,74,165,249,9,-65.0,922.0
2013-01-23,75,166,250,9,-65.0,922.0
2013-01-24,76,167,250,9,-65.0,920.0
